name,brand,price,old_price
"Cover Samsung S21 Ultra, Clear",Samsung,59.9,
"Cover Samsung S21+, Silicon, Violet",Samsung,89.9,
"Cover Samsung S21+, Clear",Samsung,49.9,
"Cover Samsung S21, Silicon, Violet",Samsung,89.9,
"Cover Samsung S21, Silicon, Negru",Samsung,89.9,
"Cover Samsung S21, Clear",Samsung,59.9,
"Cablu Huawei USB/Type C, 1 m, Alb",Huawei,24.9,
"Cablu Samsung USB/Type C, 1.5 m, Negru",Samsung,29.9,
"Senzor bluetooth temperatura Logic, Albastru",Logic,81.9,
"Senzor bluetooth  temperatura Logic, Roz",Logic,81.9,
"Curea silicon Logic pentru Samsung Active, Portocaliu",,29.9,
"Curea silicon Logic pentru Samsung Active, Albastru",,29.9,
"Suport auto Logic, Negru",Logic,20.9,
"Cablu de incarcare Logic Lightning /USB, 1 m, Alb",Logic,19.9,
"Cablu de date Logic MicroUSB, 2 m, Alb",Logic,17.9,
"Cablu USB Logic, Type C/USB, 1 m, Alb",Logic,19.9,
"Casti bluetooth Samsung Galaxy Buds Pro, Violet",Samsung,849.9,"1.099,90"
"Smartwatch Huawei Watch GT 2 Pro, Night Black",Huawei,1049.9,"1.099,90"
"Smartwatch Huawei Watch GT 2, 46mm, Pebble Brown",Huawei,649.9,
"Smartwatch Huawei Watch GT 2, 46mm, Matte Black",Huawei,599.9,"629,90"
"Smartwatch Huawei Watch GT 2, 42mm, Refined Gold",Huawei,749.9,
"Suport telefon Logic antialunecare pentru bordul masinii, negru",Logic,13.9,
"Casti bluetooth Poss PSTWSNC10, True wireless, Anulare activa a zgomotului, Negru",Poss,199.9,
"Incarcator wireless Hama QI-FC10, Negru",Hama,59.9,
"Husa pentru casti Tellur TLL121935, Negru",Tellur,8.9,
"Cablu date Tellur TLL155344, USB/Type-C, lumina LED, 3A, 1.2 m, Albastru",Tellur,24.9,
"Cablu date Tellur TLL155334, USB/Type-C, lumina LED, 3A, 1.2 m, Rosu",Tellur,24.9,
"Incarcator auto Tellur TLL151251 PD FCC7, QC, 60W max, Negru",Tellur,41.9,
